Scraper,Modèle,Grade,Prix
Smartgrade, S23 Ultra 5G (G918), Grade A,87.6
Smartgrade, S23 Ultra 5G (G918), Grade B,85.9
Smartgrade, S23 Ultra 5G (G918), Grade C,55.7
Smartgrade, S23 Ultra 5G (G918), Grade D,44.5
Smartgrade, S23 Ultra 5G (G918), Grade E,14.8
Smartgrade, S23 Ultra 5G (G918), Grade F,7.1
Smartgrade, S23 Ultra 5G (G918), Grade G,4.2
Smartgrade, S23 Ultra 5G (G918), Fully Broken,0.8
Smartgrade, S23 Plus 5G (G916), Grade A,49.2
Smartgrade, S23 Plus 5G (G916), Grade B,45.2
Smartgrade, S23 Plus 5G (G916), Grade C,27.6
Smartgrade, S23 Plus 5G (G916), Grade D,18.0
Smartgrade, S23 Plus 5G (G916), Grade E,0
Smartgrade, S23 Plus 5G (G916), Grade F,0
Smartgrade, S23 Plus 5G (G916), Grade G,4.2
Smartgrade, S23 Plus 5G (G916), Fully Broken,0.8
Smartgrade, S23 5G (G911), Grade A,49.2
Smartgrade, S23 5G (G911), Grade B,45.2
Smartgrade, S23 5G (G911), Grade C,27.6
Smartgrade, S23 5G (G911), Grade D,18.0
Smartgrade, S23 5G (G911), Grade E,0
Smartgrade, S23 5G (G911), Grade F,0
Smartgrade, S23 5G (G911), Grade G,4.2
Smartgrade, S23 5G (G911), Fully Broken,0.8
Smartgrade, S22 Ultra 5G (G908), Grade A,100.7
Smartgrade, S22 Ultra 5G (G908), Grade B,101.7
Smartgrade, S22 Ultra 5G (G908), Grade C,66.1
Smartgrade, S22 Ultra 5G (G908), Grade D,42.9
Smartgrade, S22 Ultra 5G (G908), Grade E,14.8
Smartgrade, S22 Ultra 5G (G908), Grade F,7.1
Smartgrade, S22 Ultra 5G (G908), Grade G,4.2
Smartgrade, S22 Ultra 5G (G908), Fully Broken,0.8
Smartgrade, S22 Plus 5G (G906), Grade A,50.1
Smartgrade, S22 Plus 5G (G906), Grade B,45.7
Smartgrade, S22 Plus 5G (G906), Grade C,27.6
Smartgrade, S22 Plus 5G (G906), Grade D,15.6
Smartgrade, S22 Plus 5G (G906), Grade E,0
Smartgrade, S22 Plus 5G (G906), Grade F,0
